Marque,Libellé modèle,Modèle,Groupe,Description Commerciale,Energie,Carrosserie,Cylindrée,Gamme,Puissance fiscale,Puissance maximale,Puissance nominale électrique,Poids à vide,Rapport poids-puissance,Type de boite,Nombre rapports,Autonomie elec Min,Autonomie elec Max,Autonomie elec urbain Min,Autonomie elec urbain Max,Essai CO2 type 1,Essai HC,Essai Nox,Essai HCNox,Essai particules,Masse OM Min,Masse OM Max,Bonus-Malus,Barème Bonus-Malus,Prix véhicule,Conso basse vitesse Avg,Conso moyenne vitesse Avg,Conso haute vitesse Avg,Conso T-haute vitesse Avg,Conso vitesse mixte Avg,Conso elec Avg,CO2 basse vitesse Avg,CO2 moyenne vitesse Avg,CO2 haute vitesse Avg,CO2 T-haute vitesse Avg,CO2 vitesse mixte Avg
RENAULT,KANGOO,KANGOO,RENAULT,KANGOO (102ch),ESSENCE,COMBISPACE,1332,INFERIEURE,5,75.0,-1.0,1475,0.05,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.28,0.011,0.012,-1.0,0.0,1550,1550,Malus,1504.0,25900,8.364,6.7295,6.2565,7.89,7.2125,-1.0,189.39499999999998,152.3,141.565,178.635,163.26999999999998
NISSAN,QASHQAI,QASHQAI,NISSAN,Mild Hybrid (158ch) Xtronic i-4x4 N-CONNECTA + Pack Hiver,ESS+ELEC HNR,TS TERRAINS/CHEMINS,1332,MOYENNE SUPERIEURE,8,116.0,0.0,1457,0.08,VARIATION CONTINUE,1,-1.0,-1.0,-1.0,-1.0,0.312,0.015,0.024,-1.0,0.0,1532,1532,Malus,11930.0,42920,9.0165,6.7555,6.0335,7.4135,7.067,-1.0,203.625,152.435,136.095,167.335,159.5
B.M.W.,SERIE 4,420,AUTRES,420i Gran Coupe,ESSENCE,BERLINE,1998,MOYENNE SUPERIEURE,10,135.0,-1.0,1620,0.08,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.255,0.022,0.014,-1.0,0.0,1695,1695,Malus,983.0,53833,9.7775,7.000500000000001,6.0865,6.7675,7.006,-1.0,222.20499999999998,158.98000000000002,138.165,153.68,159.1
SKODA,OCTAVIA,OCTAVIA,VGF,OCTAVIA Combi 2.0 TDI (116ch) BVM6,GAZOLE,BREAK,1968,MOYENNE SUPERIEURE,6,85.0,-1.0,1371,0.06,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.026,-1.0,0.043,0.052,0.0,1446,1446,Neutre 0,-1.0,32695,5.9559999999999995,4.2935,3.7935,4.402,4.3995,-1.0,156.19,112.57,99.46000000000001,115.42999999999999,115.35
B.M.W.,SERIE 1,120,AUTRES,120d xDrive,GAZOLE,BERLINE,1995,MOYENNE INFERIEURE,10,140.0,-1.0,1515,0.09,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.071,-1.0,0.021,0.058,0.0,1590,1590,Malus,260.0,46988,6.948,5.3294999999999995,4.83,5.3725000000000005,5.4065,-1.0,182.10500000000002,139.635,126.525,140.76999999999998,141.65
MERCEDES,CLASSE C,C 220,AUTRES,C 220 d,GAZ+ELEC HNR,BERLINE,1993,SUPERIEURE,11,147.0,10.0,1655,0.09,AUTOMATIQUE,9,-1.0,-1.0,-1.0,-1.0,0.063,-1.0,0.007,0.014,0.0,1730,1730,Neutre 0,11900.0,58383,6.1715,4.77,4.0275,4.654,4.686999999999999,-1.0,161.995,125.185,105.69,122.135,123.0
B.M.W.,SERIE 5,520,AUTRES,5
MINI,MINI,MINI,B.M.W.,MINI John Cooper Works Hatch 3P (F56),ESSENCE,BERLINE,1998,INFERIEURE,13,170.0,-1.0,1275,0.13,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.227,0.016,0.01,-1.0,0.0,1350,1350,Malus,1386.0,40700,9.488499999999998,6.694,5.8205,6.807,6.837,-1.0,216.03,152.29000000000002,132.37,154.865,155.55
B.M.W.,SERIE 1,118,AUTRES,118i,ESSENCE,BERLINE,1499,MOYENNE INFERIEURE,7,100.0,-1.0,1290,0.08,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.291,0.024,0.018,-1.0,0.001,1365,1365,Malus,190.0,35210,8.035499999999999,6.041,5.3725000000000005,6.3215,6.2,-1.0,183.025,137.47,122.21000000000001,143.85999999999999,141.1
VOLKSWAGEN,CADDY,CADDY,VGF,CADDY 5 Caddy/Life/Style 1.5 TSI (114ch) BVM6,ESSENCE,COMBISPACE,1498,INFERIEURE,6,84.0,-1.0,1467,0.06,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.245,0.029,0.031,-1.0,0.0,1542,1542,Malus,740.0,30620,8.2125,6.5,5.7795000000000005,7.0995,6.719,-1.0,186.37,147.43,131.035,161.06,152.4
