Marque;"Libellé modèle";Modèle;Groupe;"Description Commerciale";Energie;Carrosserie;Cylindrée;Gamme;"Puissance fiscale";"Puissance maximale";"Puissance nominale électrique";"Poids à vide";"Rapport poids-puissance";"Type de boite";"Nombre rapports";"Conso basse vitesse Min";"Conso basse vitesse Max";"Conso moyenne vitesse Min";"Conso moyenne vitesse Max";"Conso haute vitesse Min";"Conso haute vitesse Max";"Conso T-haute vitesse Min";"Conso T-haute vitesse Max";"Conso vitesse mixte Min";"Conso vitesse mixte Max";"Conso elec Min";"Conso elec Max";"Autonomie elec Min";"Autonomie elec Max";"Autonomie elec urbain Min";"Autonomie elec urbain Max";"CO2 basse vitesse Min";"CO2 basse vitesse Max";"CO2 moyenne vitesse Min";"CO2 moyenne vitesse Max";"CO2 haute vitesse Min";"CO2 haute vitesse Max";"CO2 T-haute vitesse Min";"CO2 T-haute vitesse Max";"CO2 vitesse mixte Min";"CO2 vitesse mixte Max";"Essai CO2 type 1";"Essai HC";"Essai Nox";"Essai HCNox";"Essai particules";"Masse OM Min";"Masse OM Max";Bonus-Malus;"Barème Bonus-Malus";"Prix véhicule"
SKODA;OCTAVIA;OCTAVIA;VGF;"OCTAVIA Combi 1.5 TSI (150ch) BVM6";ESSENCE;BREAK;1498;"MOYENNE SUPERIEURE";8;110,000;;1281;0,09;MECANIQUE;6;7,565;8,063;5,280;6,133;4,372;5,341;4,770;6,399;5,124;6,240;;;;;;;171,13;182,29;119,35;138,57;98,78;120,63;107,78;144,59;115,80;141,00;0,210;0,023;0,016;;0,000;1356;1356;"Neutre 0";;31545
B.M.W.;"SERIE 5";530;AUTRES;"530e xDrive Touring";"ELEC+ESSENC HR";BREAK;1998;LUXE;10;135,000;55,000;1960;0,07;AUTOMATIQUE;8;;;;;;;;;1,756;2,300;183,800;201,900;53,100;46,400;51,700;51,800;;;;;;;;;40,05;52,42;0,311;0,010;0,011;;0,000;2035;2035;"Neutre 0";;70838
RENAULT;KANGOO;KANGOO;RENAULT;"KANGOO (130ch)";ESSENCE;COMBISPACE;1332;INFERIEURE;7;96,000;;1475;0,07;MECANIQUE;6;8,030;8,558;6,276;6,977;5,689;6,658;7,091;8,665;6,618;7,688;;;;;;;181,83;193,77;142,02;157,88;128,70;150,63;160,53;196,18;149,78;174,01;0,291;0,012;0,011;;0,000;1550;1550;Malus;1761;28900
MERCEDES;"CLASSE B";"B 250";AUTRES;"B 250 e";"ELEC+ESSENC HR";"MONOSPACE COMPACT";1332;"MOYENNE INFERIEURE";8;118,000;55,000;1645;0,07;AUTOMATIQUE;8;;;;;;;;;0,822;1,132;144,740;160,900;78,000;65,600;76,700;70,500;;;;;;;;;18,60;25,66;0,078;0,016;0,013;;0,000;1720;1720;"Bonus 1000";;49933
DACIA;SANDERO;SANDERO;RENAULT;"SANDERO (91ch)";ESS+G.P.L.;BERLINE;999;INFERIEURE;5;67,000;;1052;0,06;MECANIQUE;6;6,700;6,640;4,740;5,140;4,320;4,690;5,420;5,890;5,110;5,470;;;;;;;152,10;150,61;107,50;116,50;97,87;106,33;123,09;133,68;116,00;124,00;0,241;0,036;0,029;;;1127;1171;"Neutre 0";;13790
MERCEDES;"CLASSE E";"E 200";AUTRES;"E 220 d 4MATIC All-Terrain";"GAZ+ELEC HNR";BREAK;1993;LUXE;11;147,000;10,000;1965;0,07;AUTOMATIQUE;9;7,609;8,276;5,913;6,418;4,905;5,596;5,625;6,528;5,726;6,451;;;;;;;199,34;216,83;154,89;168,14;128,48;146,58;147,35;171,02;150,00;169,00;0,048;;0,005;0,012;0,000;2040;2040;Malus;14333;58600
B.M.W.;"SERIE 4";420;AUTRES;"420i Coupe";ESSENCE;COUPE;1998;"MOYENNE SUPERIEURE";10;135,000;;1525;0,09;AUTOMATIQUE;8;8,764;9,768;6,417;7,301;5,366;6,357;5,926;6,914;6,231;7,201;;;;;;;199,56;222,14;146,04;165,88;122,05;144,35;134,84;157,04;141,80;163,60;0,355;0,027;0,014;;0,000;1600;1600;Malus;1276;53100
MINI;MINI;MINI;B.M.W.;"MINI John Cooper Works Hatch 3P (F56)";ESSENCE;BERLINE;1998;INFERIEURE;13;170,000;;1275;0,13;AUTOMATIQUE;8;9,293;9,684;6,409;6,979;5,535;6,106;6,444;7,170;6,536;7,138;;;;;;;211,58;220,48;145,81;158,77;125,87;138,87;146,60;163,13;148,70;162,40;0,227;0,016;0,010;;0,000;1350;1350;Malus;983;40700
B.M.W.;"SERIE 3";330;AUTRES;"330d xDrive Touring";"GAZ+ELEC HNR";BREAK;2993;SUPERIEURE;17;210,000;0,000;1825;0,12;AUTOMATIQUE;8;8,086;8,665;5,497;6,167;4,799;5,561;5,412;6,399;5,596;6,395;;;;;;;212,07;227,28;144,10;161,72;125,75;145,80;141,87;167,81;146,70;167,70;0,121;;0,042;0,055;0,001;1900;1900;Malus;12922;62725
MINI;MINI;COUNTRYMAN;B.M.W.;"MINI One Countryman (F60)";ESSENCE;"TS TERRAINS/CHEMINS";1499;INFERIEURE;5;75,000;;1420;0,05;AUTOMATIQUE;7;8,227;8,707;5,936;6,787;5,308;6,035;6,246;7,174;6,157;6,948;;;;;;;187,50;198,42;135,25;154,62;120,94;137,47;142,32;163,45;140,30;158,30;0,085;0,013;0,007;;0,000;1495;1495;Malus;330;35080
RENAULT;KADJAR;KADJAR;RENAULT;"KADJAR (140ch)";ESSENCE;"TS TERRAINS/CHEMINS";1332;"MOYENNE SUPERIEURE";7;103,000;;1372;0,08;AUTOMATIQUE;7;8,027;9,001;5,839;6,414;5,235;5,573;6,500;6,794;6,182;6,625;;;;;;;181,85;203,90;132,21;145,21;118,51;126,13;147,21;153,83;140,00;150,00;0,156;0,012;0,021;;0,000;1447;1447;Malus;650;35500
JAGUAR;F-PACE;F-PACE;TATA;"F-PACE D200 AWD BVA MHEV";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";1998;SUPERIEURE;11;150,000;10,500;1916;0,08;AUTOMATIQUE;8;7,509;7,840;6,072;6,711;5,351;6,059;6,585;7,567;6,223;6,964;;;;;;;196,95;205,73;159,23;176,09;140,27;158,96;172,67;198,56;163,18;182,73;0,102;0,018;0,024;0,042;0,000;1991;1991;Malus;13853;72740
PORSCHE;"CAYENNE TURBO S E-HYBRID";CAYENNE;VGF;"CAYENNE TURBO S-PHEV";"ELEC+ESSENC HR";"TS TERRAINS/CHEMINS";3996;LUXE;46;404,000;60,000;2490;0,16;AUTOMATIQUE;8;;;;;;;;;3,600;4,130;248,910;259,390;41,200;38,200;43,400;39,300;;;;;;;;;81,59;93,47;0,275;0,019;0,006;;0,000;2565;2565;"Neutre 0";7650;185950
MINI;MINI;MINI;B.M.W.;"MINI Cooper Hatch 5P (F55)";ESSENCE;BERLINE;1499;INFERIEURE;7;100,000;;1230;0,08;AUTOMATIQUE;7;7,726;8,231;5,369;6,121;4,581;5,517;5,361;6,685;5,437;6,416;;;;;;;175,61;187,03;121,95;138,99;104,02;125,23;121,76;151,83;123,50;145,70;0,200;0,019;0,010;;0,001;1305;1305;Malus;75;33325
MINI;MINI;CLUBMAN;B.M.W.;"MINI Cooper S Clubman (F54)";ESSENCE;BREAK;1998;INFERIEURE;9;131,000;;1415;0,09;AUTOMATIQUE;7;8,854;9,247;6,231;6,562;5,223;5,716;6,209;6,781;6,262;6,736;;;;;;;201,72;210,58;141,89;149,32;118,90;130,02;141,41;154,32;142,60;153,30;0,187;0,020;0,009;;0,000;1490;1490;Malus;818;41400
RENAULT;SCENIC;SCENIC;RENAULT;"Grand SCENIC (140ch)";ESSENCE;"MONOSPACE COMPACT";1332;"MOYENNE INFERIEURE";7;103,000;;1528;0,07;AUTOMATIQUE;7;8,349;8,619;6,319;6,730;5,548;5,925;6,733;7,191;6,499;6,897;;;;;;;188,97;195,06;142,93;152,20;125,44;133,96;152,32;162,67;147,00;156,00;0,261;0,011;0,018;;0,000;1603;1603;Malus;1504;38700
B.M.W.;"SERIE 2";220;AUTRES;"220d xDrive Gran Coupé";GAZOLE;BERLINE;1995;"MOYENNE INFERIEURE";10;140,000;;1565;0,09;AUTOMATIQUE;8;6,777;7,119;5,018;5,641;4,413;5,247;4,767;5,978;4,977;5,836;;;;;;;177,63;186,58;131,48;147,79;115,61;137,44;124,91;156,63;130,40;152,90;0,071;;0,021;0,058;0,000;1640;1640;Malus;310;49633
PORSCHE;"911 GT3";911;VGF;"911 GT3 PACK TOURING";ESSENCE;COUPE;3996;LUXE;41;375,000;;1418;0,26;MECANIQUE;7;;21,479;;12,696;;11,062;;11,486;;12,932;;;;;;;;487,08;;287,64;;250,54;;260,17;;293,00;0,364;0,023;0,034;;0,000;1493;1493;Malus;40000;178595
VOLVO;XC60;XC60;GEELY;"XC60 B4 AWD (190ch) Geartronic 8";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";1969;SUPERIEURE;11;145,000;8,000;1837;0,08;AUTOMATIQUE;8;6,984;7,564;6,150;6,864;5,274;5,885;6,067;7,054;5,962;6,723;;;;;;;182,83;198,06;160,93;179,70;137,96;154,01;158,76;184,67;156,00;176,00;0,246;;0,031;0,059;0,000;1912;1912;Malus;13057;63730
VOLKSWAGEN;CADDY;CADDY;VGF;"CADDY 5 Caddy/Life/Style 2.0 TDI (122ch) BVM6";GAZOLE;COMBISPACE;1968;INFERIEURE;6;90,000;;1535;0,06;MECANIQUE;6;5,910;6,263;4,411;5,187;3,930;4,705;4,868;5,970;4,624;5,460;;;;;;;154,80;164,05;115,50;135,86;102,90;123,23;127,48;156,38;121,10;143,00;0,025;;0,047;0,066;0,000;1610;1610;Malus;75;33860
KIA;EV6;EV6;HYUNDAI;"EV6 Moteur électrique 239kW (325ch) - Pack Style";ELECTRIC;"TS TERRAINS/CHEMINS";0;"MOYENNE SUPERIEURE";6;;81,000;2015;0,00;"VARIATION ELECTRIQUE";0;;;;;;;;;;;;180,000;;484,000;;630,000;;;;;;;;;;;;;;;;2090;2090;"Neutre 0";-6000;60130
DS;"DS 9";9;STELLANTIS;"DS9 PureTech (200ch) BVA8";ESSENCE;BERLINE;1598;SUPERIEURE;13;165,000;;1540;0,11;AUTOMATIQUE;8;8,757;9,054;6,618;7,111;5,512;6,134;6,359;7,347;6,470;7,153;;;;;;;198,32;205,05;149,74;160,91;124,60;138,72;143,84;166,27;146,37;161,85;0,378;0,019;0,024;;0,001;1615;1615;Malus;1761;51700
KIA;RIO;RIO;HYUNDAI;"RIO 1.0 essence T-GDi (120ch) MHEV iBVM6";"ESS+ELEC HNR";BERLINE;998;"MOYENNE INFERIEURE";6;88,300;7,940;1130;0,08;MECANIQUE;6;6,204;6,580;4,926;5,204;4,277;4,695;5,391;5,967;5,061;5,501;;;;;;;141,00;149,56;111,93;118,24;97,15;106,66;122,51;135,60;115,00;125,00;0,074;0,022;0,027;;0,000;1205;1205;"Neutre 0";11900;23673
VOLKSWAGEN;T-ROC;T-ROC;VGF;"T-ROC 2.0 TDI (150ch) DSG7 16/17'' rlt fbl résist EU6AP FIA éqt gnI Freins 16''";GAZOLE;"TS TERRAINS/CHEMINS";1968;INFERIEURE;8;110,000;;1380;0,08;AUTOMATIQUE;7;6,481;6,780;4,423;5,185;3,801;4,783;4,582;5,950;4,562;5,545;;;;;;;169,95;177,83;115,97;135,96;99,65;125,42;120,13;156,02;119,60;145,40;0,036;;0,027;0,037;0,000;1455;1455;Malus;50;40975
MINI;MINI;COUNTRYMAN;B.M.W.;"MINI One Countryman (F60)";ESSENCE;"TS TERRAINS/CHEMINS";1499;INFERIEURE;5;75,000;;1420;0,05;AUTOMATIQUE;7;8,227;8,707;5,936;6,787;5,308;6,035;6,246;7,174;6,157;6,948;;;;;;;187,50;198,42;135,25;154,62;120,94;137,47;142,32;163,45;140,30;158,30;0,085;0,013;0,007;;0,000;1495;1495;Malus;650;35080
FORD;FOCUS;FOCUS;FORD;"FOCUS 1.0 EcoBoost Hybrid (155ch) mHEV BVM6 SW";"ESS+ELEC HNR";BERLINE;999;"MOYENNE INFERIEURE";8;114,000;7,200;1274;0,09;MECANIQUE;6;6,296;6,815;4,799;5,479;4,438;5,285;5,394;6,358;5,098;5,909;;;;;;;142,38;154,38;108,43;124,01;100,23;119,62;121,92;144,00;115,21;133,79;0,253;0,040;0,014;;0,003;1349;1503;"Neutre 0";11900;31400
B.M.W.;"SERIE X";X3;AUTRES;"X3 xDrive30d";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";2993;SUPERIEURE;17;210,000;0,000;1935;0,11;AUTOMATIQUE;8;8,302;9,022;5,807;6,709;5,234;6,164;6,200;7,394;6,102;7,092;;;;;;;217,38;236,29;151,97;175,66;136,94;161,37;162,28;193,62;159,70;185,70;0,131;;0,043;0,060;0,001;2010;2010;Malus;14038;65800
MINI;MINI;COUNTRYMAN;B.M.W.;"MINI Cooper D Countryman (F60)";GAZOLE;"TS TERRAINS/CHEMINS";1995;INFERIEURE;8;110,000;;1510;0,07;AUTOMATIQUE;8;6,361;6,926;4,829;5,459;4,485;5,087;4,890;5,601;4,949;5,590;;;;;;;166,56;181,34;126,36;142,86;117,34;133,11;127,96;146,59;129,50;146,30;0,177;;0,015;0,060;0,000;1585;1585;Malus;210;42567
RENAULT;MEGANE;MEGANE;RENAULT;"MEGANE Berline (140ch)";ESSENCE;BERLINE;1332;"MOYENNE INFERIEURE";7;103,000;;1242;0,08;AUTOMATIQUE;7;7,877;8,222;5,657;6,168;4,910;5,355;5,974;6,416;5,835;6,279;;;;;;;178,32;186,07;127,97;139,49;111,03;121,05;135,15;145,10;132,00;142,00;0,246;0,012;0,020;;0,000;1317;1317;Malus;260;32750
RENAULT;TRAFIC;TRAFIC;RENAULT;"TRAFIC (149ch)";GAZOLE;MINIBUS;1997;"MOYENNE SUPERIEURE";8;110,000;;2033;0,05;MECANIQUE;6;7,667;9,108;6,543;7,479;5,846;6,710;7,497;8,316;6,817;7,756;;;;;;;201,26;239,12;171,74;196,32;153,44;176,13;196,79;218,31;178,92;203,60;0,040;;0,038;0,045;0,000;2108;2108;Malus;16762;42550
FIAT;TIPO;TIPO;STELLANTIS;"TIPO 5P 1.6 multijet (130ch)";GAZOLE;BERLINE;1598;"MOYENNE INFERIEURE";7;96,000;;1340;0,07;MECANIQUE;6;5,829;6,175;4,427;4,802;3,681;4,083;4,555;5,034;4,429;4,846;;;;;;;152,71;161,75;115,93;125,76;96,39;106,90;119,29;131,84;116,00;126,90;0,071;;0,050;0,077;0,000;1415;1415;"Neutre 0";;26990
B.M.W.;"SERIE 4";430;AUTRES;"430d xDrive Coupe";"GAZ+ELEC HNR";COUPE;2993;"MOYENNE SUPERIEURE";17;210,000;0,000;1780;0,12;AUTOMATIQUE;8;7,700;8,474;5,222;5,784;4,449;5,172;4,902;5,942;5,200;6,009;;;;;;;201,80;222,15;136,79;151,59;116,49;135,52;128,37;155,73;136,20;157,50;0,123;;0,041;0,055;0,001;1855;1855;Malus;12462;62850
B.M.W.;"SERIE X";X3;AUTRES;"X3 xDrive18d";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";1995;SUPERIEURE;8;110,000;0,000;1810;0,06;AUTOMATIQUE;8;6,508;7,213;5,161;6,336;4,920;5,774;5,949;7,126;5,546;6,560;;;;;;;170,46;188,94;135,11;165,91;128,78;151,17;155,79;186,67;145,20;171,80;0,159;;0,023;0,061;0,000;1885;1885;Malus;12771;55100
OPEL;"COMBO LIFE";COMBO;STELLANTIS;"COMBO LIFE L2 (130ch)";ESSENCE;COMBISPACE;1199;INFERIEURE;7;96,000;;1482;0,06;AUTOMATIQUE;8;7,867;8,588;6,199;7,315;5,482;6,557;6,940;8,511;6,463;7,675;;;;;;;177,63;193,64;139,82;164,80;123,58;147,60;156,62;191,91;145,81;172,96;0,588;0,024;0,035;;0,001;1557;1557;Malus;1386;28015
DS;"DS 3 CROSSBACK";"3 CROSSBACK";STELLANTIS;"DS3 CROSSBACK PureTech (130ch) BVA8";ESSENCE;"TS TERRAINS/CHEMINS";1199;INFERIEURE;7;96,000;;1205;0,08;AUTOMATIQUE;8;7,186;7,592;5,688;6,177;4,973;5,613;6,147;7,147;5,830;6,536;;;;;;;162,12;171,30;128,21;139,26;112,01;126,49;138,60;161,22;131,42;147,38;0,332;0,022;0,022;;0,000;1280;1280;Malus;260;35234
KIA;SPORTAGE;SPORTAGE;HYUNDAI;"SPORTAGE 1.6 Diesel CRDi (136ch) ISG MHEV DCT7";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";1598;"MOYENNE SUPERIEURE";7;100,000;7,940;1527;0,07;AUTOMATIQUE;7;5,208;5,464;4,684;5,285;4,350;4,502;5,558;5,946;4,961;5,302;;;;;;;136,38;143,15;122,62;138,45;113,87;117,90;145,57;155,79;129,90;138,90;0,130;;0,014;0,045;0,000;1602;1602;Malus;11912;40423
PORSCHE;"CAYENNE TURBO S E-HYBRID";CAYENNE;VGF;"CAYENNE TURBO S-PHEV";"ELEC+ESSENC HR";"TS TERRAINS/CHEMINS";3996;LUXE;46;404,000;60,000;2490;0,16;AUTOMATIQUE;8;;;;;;;;;3,600;4,130;248,910;259,390;41,200;38,200;43,400;39,300;;;;;;;;;81,59;93,47;0,275;0,019;0,006;;0,000;2565;2565;"Neutre 0";7650;185950
NISSAN;QASHQAI;QASHQAI;NISSAN;"Mild Hybrid (158ch) Xtronic ACENTA/BUSINESS EDITION/N-CONNECTA";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1332;"MOYENNE SUPERIEURE";8;116,000;0,000;1375;0,08;"VARIATION CONTINUE";1;7,904;7,999;5,929;6,389;5,302;5,678;6,639;7,125;6,250;6,645;;;;;;;178,43;180,64;133,71;144,20;119,53;128,10;149,80;160,86;141,00;150,00;0,292;0,017;0,020;;0,000;1450;1450;Malus;11914;39315
B.M.W.;"SERIE 1";116;AUTRES;116d;GAZOLE;BERLINE;1496;"MOYENNE INFERIEURE";6;85,000;;1375;0,06;MECANIQUE;6;5,378;6,281;4,417;5,325;4,031;4,712;4,399;5,559;4,420;5,346;;;;;;;140,83;164,51;115,63;139,43;105,52;123,36;115,15;145,57;115,70;140,00;0,059;;0,018;0,035;0,000;1450;1450;"Neutre 0";;36260
MINI;MINI;CLUBMAN;B.M.W.;"MINI Cooper Clubman (F54)";ESSENCE;BREAK;1499;INFERIEURE;7;100,000;;1335;0,07;MECANIQUE;6;8,024;8,452;5,907;6,434;5,168;5,719;5,978;6,515;5,986;6,511;;;;;;;182,67;192,37;134,40;146,35;117,54;130,03;136,00;148,19;136,20;148,10;0,217;0,021;0,015;;0,000;1410;1410;Malus;310;34014
SKODA;OCTAVIA;OCTAVIA;VGF;"OCTAVIA Combi 2.0 TDI (116ch) BVM6";GAZOLE;BREAK;1968;"MOYENNE SUPERIEURE";6;85,000;;1371;0,06;MECANIQUE;6;5,693;6,219;3,875;4,712;3,385;4,202;3,813;4,991;3,944;4,855;;;;;;;149,28;163,10;101,58;123,56;88,74;110,18;99,97;130,89;103,40;127,30;0,026;;0,043;0,052;0,000;1446;1446;"Neutre 0";;32695
VOLKSWAGEN;GOLF;GOLF;VGF;"GOLF GTI 2.0 TSI (245ch) DSG7 ess ar Mbr ss+r 17/18/19'' ssp spt s lmt EU6AP FIA gnI";ESSENCE;BERLINE;1984;"MOYENNE INFERIEURE";14;180,000;;1383;0,13;AUTOMATIQUE;7;10,971;11,606;7,060;7,712;5,717;6,384;6,190;7,191;6,858;7,636;;;;;;;249,38;263,72;160,39;175,12;129,84;144,90;140,60;163,27;155,80;173,40;0,182;0,021;0,020;;0,000;1458;1458;Malus;3552;45880
PORSCHE;TAYCAN;TAYCAN;VGF;TAYCAN;ELECTRIC;BERLINE;0;LUXE;9;;120,000;2130;0,00;"VARIATION ELECTRIQUE";2;;;;;;;;;;;197,000;260,000;520,000;394,000;548,000;456,000;;;;;;;;;;;;;;;;2205;2205;"Neutre 0";-6000;96827
B.M.W.;"SERIE X";X5;AUTRES;"X5 xDrive30d";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";2993;LUXE;17;210,000;0,000;2190;0,10;AUTOMATIQUE;8;8,821;8,884;6,274;7,266;5,579;6,624;6,588;7,831;6,510;7,484;;;;;;;230,96;232,59;164,21;190,19;146,00;173,36;172,43;204,99;170,40;195,90;0,141;;0,045;0,063;0,001;2265;2265;Malus;16614;79017
PORSCHE;"CAYENNE TURBO S E-HYBRID";CAYENNE;VGF;"CAYENNE TURBO S-PHEV";"ELEC+ESSENC HR";"TS TERRAINS/CHEMINS";3996;LUXE;46;404,000;60,000;2535;0,16;AUTOMATIQUE;8;;;;;;;;;3,600;4,130;248,910;259,390;41,200;38,200;43,400;39,300;;;;;;;;;81,59;93,47;0,275;0,019;0,006;;0,000;2610;2610;"Neutre 0";8100;189670
B.M.W.;"SERIE X";X2;AUTRES;"X2 sDrive18d";GAZOLE;"TS TERRAINS/CHEMINS";1995;"MOYENNE SUPERIEURE";8;110,000;;1540;0,07;AUTOMATIQUE;8;6,331;6,812;5,033;5,683;4,565;5,229;5,092;5,919;5,082;5,777;;;;;;;165,77;178,36;131,70;148,73;119,42;136,81;133,25;154,92;133,00;151,20;0,177;;0,016;0,065;0,000;1615;1615;Malus;310;45667
FIAT;500;500;STELLANTIS;"500 Hybrid 1.0 BSG (70ch) Start/Stop Euro 6";"ESS+ELEC HNR";BERLINE;999;ECONOMIQUE;4;51,500;1,370;968;0,05;MECANIQUE;6;5,629;5,839;4,814;5,199;4,312;4,815;5,410;6,257;4,979;5,541;;;;;;;128,48;133,12;109,81;118,47;98,31;109,68;123,47;142,71;113,60;126,31;0,281;0,031;0,048;;;1043;1043;"Neutre 0";11900;18500
FORD;TOURNEO;"TOURNEO CONNECT";FORD;"TOURNEO CONNECT 1.5 EcoBlue (100ch) BVM6";GAZOLE;COMBISPACE;1499;INFERIEURE;5;73,300;;1589;0,05;MECANIQUE;6;5,853;6,831;5,202;6,135;4,719;5,648;6,052;7,064;5,442;6,407;;;;;;;153,41;179,05;136,33;160,80;123,66;148,03;158,62;185,16;142,61;167,94;0,045;0,005;0,030;0,034;0,000;1664;1797;Malus;450;26495
MERCEDES;"CLASSE C";"C 220";AUTRES;"C 220d 4MATIC All-Terrain";"GAZ+ELEC HNR";BREAK;1993;SUPERIEURE;11;147,000;10,000;1800;0,08;AUTOMATIQUE;9;6,368;6,850;4,976;5,363;4,123;4,582;4,910;5,501;4,875;5,369;;;;;;;167,22;179,91;130,66;140,83;108,24;120,31;128,91;144,46;128,00;141,00;0,056;;0,007;0,013;0,000;1875;1875;Malus;12655;62283
MERCEDES;"CLASSE C";"C 220";AUTRES;"C 220d 4MATIC All-Terrain";"GAZ+ELEC HNR";BREAK;1993;SUPERIEURE;11;147,000;10,000;1800;0,08;AUTOMATIQUE;9;6,368;6,850;4,976;5,363;4,123;4,582;4,910;5,501;4,875;5,369;;;;;;;167,22;179,91;130,66;140,83;108,24;120,31;128,91;144,46;128,00;141,00;0,056;;0,007;0,013;0,000;1875;1875;Malus;12658;62283
VOLKSWAGEN;T-ROC;T-ROC;VGF;"T-ROC CAB 1.5 TSI (150ch) DSG7 18/19'' FIB éqt ttne Freins 15''";ESSENCE;CABRIOLET;1498;INFERIEURE;8;110,000;;1471;0,07;AUTOMATIQUE;7;8,111;8,589;6,191;6,849;5,505;6,176;6,632;7,550;6,392;7,122;;;;;;;183,06;193,85;139,68;154,53;124,15;139,32;149,63;170,38;144,20;160,70;0,126;0,014;0,010;;0,000;1546;1546;Malus;898;44278
OPEL;CORSA;CORSA;STELLANTIS;"CORSA (75ch)";ESSENCE;BERLINE;1199;INFERIEURE;4;55,000;;980;0,06;MECANIQUE;5;6,311;6,692;4,844;5,611;4,380;5,152;5,361;6,300;5,080;5,858;;;;;;;142,16;150,67;108,96;126,19;98,46;115,81;120,65;141,78;114,29;131,78;0,475;0,034;0,012;;;1055;1055;"Neutre 0";;19800
FIAT;500X;500X;STELLANTIS;"500X 1.0 FireFly (120ch)";ESSENCE;"TS TERRAINS/CHEMINS";999;INFERIEURE;6;88,000;;1320;0,07;MECANIQUE;6;7,894;8,374;5,917;6,610;5,387;5,977;6,485;7,192;6,218;6,856;;;;;;;179,57;190,68;134,41;150,37;122,32;135,92;147,39;163,67;141,30;156,00;0,423;0,023;0,016;;0,000;1395;1395;Malus;650;24990
MINI;MINI;CLUBMAN;B.M.W.;"MINI Cooper S Clubman (F54)";ESSENCE;BREAK;1998;INFERIEURE;9;131,000;;1400;0,09;MECANIQUE;6;9,053;9,244;6,563;7,044;5,793;6,182;6,613;7,104;6,675;7,093;;;;;;;206,03;210,37;149,24;160,20;131,69;140,53;150,39;161,56;151,80;161,30;0,249;0,024;0,018;;0,000;1475;1475;Malus;1276;37829
VOLKSWAGEN;TIGUAN;TIGUAN;VGF;"TIGUAN R-Line 2.0 TDI (150ch) DSG7 ess5 ss+r opt PAC 19/20'' rlt fbl résist EU6AP FIB";GAZOLE;"TS TERRAINS/CHEMINS";1968;"MOYENNE SUPERIEURE";8;110,000;;1556;0,07;AUTOMATIQUE;7;7,644;8,685;5,680;6,276;5,047;5,711;6,023;7,108;5,868;6,718;;;;;;;200,29;227,56;148,79;164,41;132,21;149,61;157,79;186,24;153,73;176,00;0,026;;0,029;0,039;0,000;1631;1631;Malus;1386;48739
VOLKSWAGEN;TIGUAN;TIGUAN;VGF;"TIGUAN 1.5 TSI (130ch) BVM6 ess2 ss+r opt PAC 17'' rlt fbl résist EU6AP FIA gnI";ESSENCE;"TS TERRAINS/CHEMINS";1498;"MOYENNE SUPERIEURE";7;96,000;;1429;0,07;MECANIQUE;6;7,520;8,312;5,961;6,878;5,246;6,213;6,180;7,471;6,026;7,074;;;;;;;170,84;188,89;135,32;156,22;119,03;141,07;140,31;169,74;136,80;160,70;0,233;0,033;0,025;;0,000;1504;1504;Malus;400;39135
PEUGEOT;2008;2008;AUTRES;"2008 PureTech S&S (154ch) BVA8";ESSENCE;"TS TERRAINS/CHEMINS";1199;INFERIEURE;8;114,000;;1205;0,09;AUTOMATIQUE;8;7,827;8,384;5,986;6,526;5,116;5,799;6,274;7,178;6,065;6,781;;;;;;;177,13;189,65;135,30;147,44;115,53;130,91;141,85;162,25;137,10;153,22;0,503;0,027;0,034;;0,001;1280;1280;Malus;280;35100
RENAULT;CLIO;CLIO;RENAULT;"CLIO (94ch+24Kw)";"ESS+ELEC HNR";BERLINE;1598;INFERIEURE;5;69,000;24,000;1243;0,06;AUTOMATIQUE;6;4,115;4,790;3,695;4,344;3,681;4,364;4,767;5,738;4,127;4,904;;;;;;;92,64;107,87;83,11;97,77;82,80;98,21;107,40;129,35;92,90;110,45;0,416;0,023;0,005;;;1318;1318;"Neutre 0";11900;25133
SKODA;KAMIQ;KAMIQ;VGF;"Kamiq Ambition 1.5 TSI (150ch) BVM6. châssis classique. classe A";ESSENCE;"TS TERRAINS/CHEMINS";1498;"MOYENNE INFERIEURE";8;110,000;;1195;0,09;MECANIQUE;6;7,077;7,532;5,235;5,683;4,405;5,064;5,119;6,066;5,183;5,874;;;;;;;160,68;171,02;118,77;128,95;99,90;114,86;116,14;137,66;117,60;133,30;0,183;0,024;0,015;;0,000;1270;1270;Malus;75;27790
MERCEDES;"CLASSE A";"A 180";AUTRES;"A 180";ESSENCE;BERLINE;1332;"MOYENNE INFERIEURE";7;100,000;;1290;0,08;AUTOMATIQUE;7;8,377;9,468;5,770;6,752;4,928;6,042;5,507;7,040;5,764;6,997;;;;;;;190,47;215,24;131,12;153,42;111,96;137,26;125,14;159,98;131,00;159,00;0,101;0,027;0,031;;0,000;1365;1365;Malus;240;37475
